***Ebeam     Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.7000   3.3400   8.4000   0.0555   0.7668  0.19029E+03  0.19029E+03  0.38166E-02  0.30339E+03  0.27508E+01  0.33609E+02  0.26703E+03  0.10000E+01
   10.7000   3.3500   8.4000   0.0558   0.7691  0.19030E+03  0.19030E+03  0.38194E-02  0.30288E+03  0.27101E+01  0.33329E+02  0.26684E+03  0.10000E+01
   10.7000   3.3600   8.4000   0.0560   0.7714  0.19037E+03  0.19036E+03  0.38222E-02  0.30241E+03  0.26702E+01  0.33051E+02  0.26669E+03  0.10000E+01
   10.7000   3.3700   8.4000   0.0562   0.7737  0.19044E+03  0.19044E+03  0.38251E-02  0.30199E+03  0.26308E+01  0.32775E+02  0.26659E+03  0.10000E+01
   10.7000   3.3800   8.4000   0.0565   0.7760  0.19071E+03  0.19071E+03  0.38281E-02  0.30156E+03  0.25921E+01  0.32503E+02  0.26646E+03  0.10000E+01
   10.7000   3.3900   8.4000   0.0567   0.7782  0.19079E+03  0.19078E+03  0.38311E-02  0.30108E+03  0.25540E+01  0.32233E+02  0.26630E+03  0.10000E+01
   10.7000   3.4000   8.4000   0.0570   0.7805  0.19079E+03  0.19078E+03  0.38342E-02  0.30058E+03  0.25164E+01  0.31967E+02  0.26610E+03  0.10000E+01
   10.7000   3.4100   8.4000   0.0572   0.7828  0.19083E+03  0.19083E+03  0.38373E-02  0.30004E+03  0.24795E+01  0.31703E+02  0.26586E+03  0.10000E+01
   10.7000   3.4200   8.4000   0.0575   0.7851  0.19087E+03  0.19087E+03  0.38405E-02  0.29959E+03  0.24431E+01  0.31441E+02  0.26571E+03  0.10000E+01
   10.7000   3.4300   8.4000   0.0577   0.7874  0.19093E+03  0.19093E+03  0.38437E-02  0.29916E+03  0.24073E+01  0.31212E+02  0.26554E+03  0.10000E+01
   10.7000   3.4400   8.4000   0.0580   0.7897  0.19099E+03  0.19099E+03  0.38470E-02  0.29868E+03  0.23721E+01  0.30926E+02  0.26538E+03  0.10000E+01
   10.7000   3.4500   8.4000   0.0582   0.7920  0.19106E+03  0.19106E+03  0.38504E-02  0.29825E+03  0.23374E+01  0.30672E+02  0.26524E+03  0.10000E+01
   10.7000   3.4600   8.4000   0.0585   0.7943  0.19113E+03  0.19112E+03  0.38538E-02  0.29797E+03  0.23033E+01  0.30421E+02  0.26525E+03  0.10000E+01
   10.7000   3.4700   8.4000   0.0587   0.7966  0.19119E+03  0.19119E+03  0.38573E-02  0.29740E+03  0.22697E+01  0.30172E+02  0.26496E+03  0.10000E+01
   10.7000   3.4800   8.4000   0.0590   0.7989  0.19126E+03  0.19126E+03  0.38608E-02  0.29697E+03  0.22367E+01  0.29926E+02  0.26481E+03  0.10000E+01
   10.7000   3.4900   8.4000   0.0592   0.8012  0.19133E+03  0.19133E+03  0.38644E-02  0.29654E+03  0.22042E+01  0.29682E+02  0.26465E+03  0.10000E+01
   10.7000   3.5000   8.4000   0.0595   0.8035  0.19140E+03  0.19140E+03  0.38681E-02  0.29611E+03  0.21722E+01  0.29441E+02  0.26449E+03  0.10000E+01
   10.7000   3.5100   8.4000   0.0597   0.8058  0.19147E+03  0.19146E+03  0.38718E-02  0.29569E+03  0.21407E+01  0.29202E+02  0.26434E+03  0.10000E+01
   10.7000   3.5200   8.4000   0.0600   0.8081  0.19153E+03  0.19152E+03  0.38756E-02  0.29527E+03  0.21097E+01  0.28965E+02  0.26419E+03  0.10000E+01
   10.7000   3.5300   8.4000   0.0602   0.8104  0.19159E+03  0.19158E+03  0.38794E-02  0.29481E+03  0.20793E+01  0.28731E+02  0.26400E+03  0.10000E+01
   10.7000   3.5400   8.4000   0.0605   0.8127  0.19161E+03  0.19161E+03  0.38833E-02  0.29443E+03  0.20493E+01  0.28499E+02  0.26388E+03  0.10000E+01
   10.7000   3.5500   8.4000   0.0607   0.8150  0.19190E+03  0.19189E+03  0.38873E-02  0.29415E+03  0.20197E+01  0.28269E+02  0.26386E+03  0.10000E+01
   10.7000   3.5600   8.4000   0.0610   0.8173  0.19194E+03  0.19194E+03  0.38913E-02  0.29371E+03  0.19907E+01  0.28042E+02  0.26367E+03  0.10000E+01
   10.7000   3.5700   8.4000   0.0613   0.8196  0.19199E+03  0.19199E+03  0.38954E-02  0.29328E+03  0.19621E+01  0.27816E+02  0.26350E+03  0.10000E+01
   10.7000   3.5800   8.4000   0.0615   0.8219  0.19204E+03  0.19204E+03  0.38996E-02  0.29289E+03  0.19339E+01  0.27594E+02  0.26336E+03  0.10000E+01
   10.7000   3.5900   8.4000   0.0618   0.8242  0.19211E+03  0.19211E+03  0.39038E-02  0.29250E+03  0.19063E+01  0.27375E+02  0.26322E+03  0.10000E+01
   10.7000   3.6000   8.4000   0.0620   0.8265  0.19219E+03  0.19219E+03  0.39080E-02  0.29212E+03  0.18791E+01  0.27157E+02  0.26308E+03  0.10000E+01
   10.7000   3.6100   8.4000   0.0623   0.8288  0.19227E+03  0.19227E+03  0.39124E-02  0.29174E+03  0.18523E+01  0.26942E+02  0.26294E+03  0.10000E+01
   10.7000   3.6200   8.4000   0.0626   0.8311  0.19235E+03  0.19235E+03  0.39168E-02  0.29137E+03  0.18260E+01  0.26727E+02  0.26282E+03  0.10000E+01
   10.7000   3.6300   8.4000   0.0628   0.8333  0.19243E+03  0.19243E+03  0.39212E-02  0.29097E+03  0.18001E+01  0.26515E+02  0.26266E+03  0.10000E+01
   10.7000   3.6400   8.4000   0.0631   0.8356  0.19252E+03  0.19251E+03  0.39257E-02  0.29061E+03  0.17747E+01  0.26305E+02  0.26253E+03  0.10000E+01
   10.7000   3.6500   8.4000   0.0633   0.8379  0.19260E+03  0.19260E+03  0.39303E-02  0.29024E+03  0.17499E+01  0.26096E+02  0.26239E+03  0.10000E+01
   10.7000   3.6600   8.4000   0.0636   0.8402  0.19269E+03  0.19268E+03  0.39350E-02  0.28988E+03  0.17262E+01  0.25890E+02  0.26227E+03  0.10000E+01
   10.7000   3.6700   8.4000   0.0639   0.8425  0.19277E+03  0.19277E+03  0.39397E-02  0.28948E+03  0.17029E+01  0.25686E+02  0.26210E+03  0.10000E+01
   10.7000   3.6800   8.4000   0.0641   0.8448  0.19286E+03  0.19285E+03  0.39445E-02  0.28913E+03  0.16799E+01  0.25484E+02  0.26197E+03  0.10000E+01
   10.7000   3.6900   8.4000   0.0644   0.8471  0.19294E+03  0.19294E+03  0.39493E-02  0.28878E+03  0.16573E+01  0.25283E+02  0.26184E+03  0.10000E+01
   10.7000   3.7000   8.4000   0.0647   0.8494  0.19303E+03  0.19303E+03  0.39542E-02  0.28843E+03  0.16350E+01  0.25085E+02  0.26171E+03  0.10000E+01
   10.7000   3.7100   8.4000   0.0649   0.8517  0.19302E+03  0.19302E+03  0.39592E-02  0.28815E+03  0.16131E+01  0.24889E+02  0.26164E+03  0.10000E+01
   10.7000   3.7200   8.4000   0.0652   0.8540  0.19323E+03  0.19323E+03  0.39643E-02  0.28777E+03  0.15914E+01  0.24695E+02  0.26148E+03  0.10000E+01
   10.7000   3.7300   8.4000   0.0655   0.8563  0.19332E+03  0.19332E+03  0.39694E-02  0.28741E+03  0.15700E+01  0.24502E+02  0.26134E+03  0.10000E+01
   10.7000   3.7400   8.4000   0.0657   0.8586  0.19341E+03  0.19341E+03  0.39746E-02  0.28707E+03  0.15490E+01  0.24309E+02  0.26121E+03  0.10000E+01
   10.7000   3.7500   8.4000   0.0660   0.8609  0.19350E+03  0.19350E+03  0.39798E-02  0.28673E+03  0.15282E+01  0.24120E+02  0.26108E+03  0.10000E+01
   10.7000   3.7600   8.4000   0.0663   0.8632  0.19359E+03  0.19359E+03  0.39851E-02  0.28640E+03  0.15078E+01  0.23933E+02  0.26096E+03  0.10000E+01
   10.7000   3.7700   8.4000   0.0666   0.8655  0.19369E+03  0.19368E+03  0.39905E-02  0.28609E+03  0.14876E+01  0.23747E+02  0.26085E+03  0.10000E+01
   10.7000   3.7800   8.4000   0.0668   0.8678  0.19378E+03  0.19378E+03  0.39959E-02  0.28577E+03  0.14677E+01  0.23563E+02  0.26074E+03  0.10000E+01
   10.7000   3.7900   8.4000   0.0671   0.8701  0.19388E+03  0.19387E+03  0.40015E-02  0.28547E+03  0.14481E+01  0.23381E+02  0.26064E+03  0.10000E+01
   10.7000   3.8000   8.4000   0.0674   0.8724  0.19397E+03  0.19397E+03  0.40070E-02  0.28515E+03  0.14287E+01  0.23201E+02  0.26052E+03  0.10000E+01
   10.7000   3.8100   8.4000   0.0676   0.8747  0.19407E+03  0.19406E+03  0.40127E-02  0.28484E+03  0.14097E+01  0.23022E+02  0.26040E+03  0.10000E+01
   10.7000   3.8200   8.4000   0.0679   0.8770  0.19416E+03  0.19416E+03  0.40184E-02  0.28452E+03  0.13909E+01  0.22845E+02  0.26029E+03  0.10000E+01
